菜品名称,最低价,最高价,平均价,产地,单位,发布时间
圆白菜,1.4,1.8,1.6,鄂,斤,2021-11-27 00:00:00
紫甘蓝,1.2,1.4,1.3,冀宁,斤,2021-11-27 00:00:00
芹菜,2.2,2.6,2.4,鲁,斤,2021-11-27 00:00:00
西芹,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
菠菜,2.5,3.5,3.0,蒙,斤,2021-11-27 00:00:00
莴笋,1.2,1.8,1.5,冀,斤,2021-11-27 00:00:00
团生菜,2.5,4.5,3.5,冀,斤,2021-11-27 00:00:00
散叶生菜,3.2,3.6,3.4,京辽,斤,2021-11-27 00:00:00
罗马生菜,3.0,3.4,3.2,冀,斤,2021-11-27 00:00:00
油菜,1.5,1.8,1.65,冀,斤,2021-11-27 00:00:00
香菜,2.4,4.5,3.45,冀,斤,2021-11-27 00:00:00
茴香,2.5,3.5,3.0,冀,斤,2021-11-27 00:00:00
韭菜,3.0,3.5,3.25,粤冀,斤,2021-11-27 00:00:00
苦菊,4.5,5.5,5.0,辽,斤,2021-11-27 00:00:00
油麦菜,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
黄心菜,1.0,1.3,1.15,皖,斤,2021-11-27 00:00:00
雪里蕻,1.3,1.5,1.4,冀,斤,2021-11-27 00:00:00
散菜花,3.5,5.0,4.25,冀甘陕,斤,2021-11-27 00:00:00
绿菜花,3.0,3.5,3.25,冀甘,斤,2021-11-27 00:00:00
绿豆芽,0.95,1.0,0.98,,斤,2021-11-27 00:00:00
黄豆芽,0.85,0.9,0.88,,斤,2021-11-27 00:00:00
番茄,1.3,2.7,2.0,蒙,斤,2021-11-27 00:00:00
番茄,3.0,3.5,3.25,鲁蒙冀,斤,2021-11-27 00:00:00
黄瓜,2.0,3.2,2.6,蒙辽,斤,2021-11-27 00:00:00
黄瓜,3.5,5.0,4.25,冀鲁,斤,2021-11-27 00:00:00
小黄瓜,5.0,5.4,5.2,辽,斤,2021-11-27 00:00:00
茄子,1.8,3.2,2.5,冀京,斤,2021-11-27 00:00:00
长茄,1.8,2.6,2.2,冀晋辽,斤,2021-11-27 00:00:00
广茄,2.0,3.0,2.5,冀京,斤,2021-11-27 00:00:00
线茄,3.5,4.3,3.9,冀鲁,斤,2021-11-27 00:00:00
冬瓜,1.4,1.6,1.5,辽桂,斤,2021-11-27 00:00:00
冬瓜,0.7,0.8,0.75,苏,斤,2021-11-27 00:00:00
毛冬瓜,1.4,1.8,1.6,冀豫,斤,2021-11-27 00:00:00
架豆,3.2,4.4,3.8,冀,斤,2021-11-27 00:00:00
豆王,3.2,4.4,3.8,云冀,斤,2021-11-27 00:00:00
扁豆,3.0,4.0,3.5,冀,斤,2021-11-27 00:00:00
大白菜,1.0,1.4,1.2,冀陕辽,斤,2021-11-27 00:00:00
娃娃菜,1.0,1.5,1.25,冀,斤,2021-11-27 00:00:00
小白菜,1.3,1.5,1.4,,斤,2021-11-27 00:00:00
圆白菜,2.2,2.5,2.35,冀,斤,2021-11-27 00:00:00
圆白菜,1.4,1.8,1.6,鄂,斤,2021-11-27 00:00:00
紫甘蓝,1.2,1.4,1.3,冀宁,斤,2021-11-27 00:00:00
芹菜,2.2,2.6,2.4,鲁,斤,2021-11-27 00:00:00
西芹,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
菠菜,2.5,3.5,3.0,蒙,斤,2021-11-27 00:00:00
莴笋,1.2,1.8,1.5,冀,斤,2021-11-27 00:00:00
团生菜,2.5,4.5,3.5,冀,斤,2021-11-27 00:00:00
散叶生菜,3.2,3.6,3.4,京辽,斤,2021-11-27 00:00:00
罗马生菜,3.0,3.4,3.2,冀,斤,2021-11-27 00:00:00
油菜,1.5,1.8,1.65,冀,斤,2021-11-27 00:00:00
香菜,2.4,4.5,3.45,冀,斤,2021-11-27 00:00:00
茴香,2.5,3.5,3.0,冀,斤,2021-11-27 00:00:00
韭菜,3.0,3.5,3.25,粤冀,斤,2021-11-27 00:00:00
苦菊,4.5,5.5,5.0,辽,斤,2021-11-27 00:00:00
油麦菜,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
黄心菜,1.0,1.3,1.15,皖,斤,2021-11-27 00:00:00
雪里蕻,1.3,1.5,1.4,冀,斤,2021-11-27 00:00:00
散菜花,3.5,5.0,4.25,冀甘陕,斤,2021-11-27 00:00:00
绿菜花,3.0,3.5,3.25,冀甘,斤,2021-11-27 00:00:00
绿豆芽,0.95,1.0,0.98,,斤,2021-11-27 00:00:00
黄豆芽,0.85,0.9,0.88,,斤,2021-11-27 00:00:00
番茄,1.3,2.7,2.0,蒙,斤,2021-11-27 00:00:00
番茄,3.0,3.5,3.25,鲁蒙冀,斤,2021-11-27 00:00:00
黄瓜,2.0,3.2,2.6,蒙辽,斤,2021-11-27 00:00:00
黄瓜,3.5,5.0,4.25,冀鲁,斤,2021-11-27 00:00:00
小黄瓜,5.0,5.4,5.2,辽,斤,2021-11-27 00:00:00
茄子,1.8,3.2,2.5,冀京,斤,2021-11-27 00:00:00
长茄,1.8,2.6,2.2,冀晋辽,斤,2021-11-27 00:00:00
广茄,2.0,3.0,2.5,冀京,斤,2021-11-27 00:00:00
线茄,3.5,4.3,3.9,冀鲁,斤,2021-11-27 00:00:00
冬瓜,1.4,1.6,1.5,辽桂,斤,2021-11-27 00:00:00
冬瓜,0.7,0.8,0.75,苏,斤,2021-11-27 00:00:00
毛冬瓜,1.4,1.8,1.6,冀豫,斤,2021-11-27 00:00:00
架豆,3.2,4.4,3.8,冀,斤,2021-11-27 00:00:00
豆王,3.2,4.4,3.8,云冀,斤,2021-11-27 00:00:00
扁豆,3.0,4.0,3.5,冀,斤,2021-11-27 00:00:00
大白菜,1.0,1.4,1.2,冀陕辽,斤,2021-11-27 00:00:00
娃娃菜,1.0,1.5,1.25,冀,斤,2021-11-27 00:00:00
小白菜,1.3,1.5,1.4,,斤,2021-11-27 00:00:00
圆白菜,2.2,2.5,2.35,冀,斤,2021-11-27 00:00:00
圆白菜,1.4,1.8,1.6,鄂,斤,2021-11-27 00:00:00
紫甘蓝,1.2,1.4,1.3,冀宁,斤,2021-11-27 00:00:00
芹菜,2.2,2.6,2.4,鲁,斤,2021-11-27 00:00:00
西芹,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
菠菜,2.5,3.5,3.0,蒙,斤,2021-11-27 00:00:00
莴笋,1.2,1.8,1.5,冀,斤,2021-11-27 00:00:00
团生菜,2.5,4.5,3.5,冀,斤,2021-11-27 00:00:00
散叶生菜,3.2,3.6,3.4,京辽,斤,2021-11-27 00:00:00
罗马生菜,3.0,3.4,3.2,冀,斤,2021-11-27 00:00:00
油菜,1.5,1.8,1.65,冀,斤,2021-11-27 00:00:00
香菜,2.4,4.5,3.45,冀,斤,2021-11-27 00:00:00
茴香,2.5,3.5,3.0,冀,斤,2021-11-27 00:00:00
韭菜,3.0,3.5,3.25,粤冀,斤,2021-11-27 00:00:00
苦菊,4.5,5.5,5.0,辽,斤,2021-11-27 00:00:00
油麦菜,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
黄心菜,1.0,1.3,1.15,皖,斤,2021-11-27 00:00:00
雪里蕻,1.3,1.5,1.4,冀,斤,2021-11-27 00:00:00
散菜花,3.5,5.0,4.25,冀甘陕,斤,2021-11-27 00:00:00
绿菜花,3.0,3.5,3.25,冀甘,斤,2021-11-27 00:00:00
绿豆芽,0.95,1.0,0.98,,斤,2021-11-27 00:00:00
黄豆芽,0.85,0.9,0.88,,斤,2021-11-27 00:00:00
番茄,1.3,2.7,2.0,蒙,斤,2021-11-27 00:00:00
番茄,3.0,3.5,3.25,鲁蒙冀,斤,2021-11-27 00:00:00
黄瓜,2.0,3.2,2.6,蒙辽,斤,2021-11-27 00:00:00
黄瓜,3.5,5.0,4.25,冀鲁,斤,2021-11-27 00:00:00
小黄瓜,5.0,5.4,5.2,辽,斤,2021-11-27 00:00:00
茄子,1.8,3.2,2.5,冀京,斤,2021-11-27 00:00:00
长茄,1.8,2.6,2.2,冀晋辽,斤,2021-11-27 00:00:00
广茄,2.0,3.0,2.5,冀京,斤,2021-11-27 00:00:00
线茄,3.5,4.3,3.9,冀鲁,斤,2021-11-27 00:00:00
冬瓜,1.4,1.6,1.5,辽桂,斤,2021-11-27 00:00:00
冬瓜,0.7,0.8,0.75,苏,斤,2021-11-27 00:00:00
毛冬瓜,1.4,1.8,1.6,冀豫,斤,2021-11-27 00:00:00
架豆,3.2,4.4,3.8,冀,斤,2021-11-27 00:00:00
豆王,3.2,4.4,3.8,云冀,斤,2021-11-27 00:00:00
扁豆,3.0,4.0,3.5,冀,斤,2021-11-27 00:00:00
大白菜,1.0,1.4,1.2,冀陕辽,斤,2021-11-27 00:00:00
娃娃菜,1.0,1.5,1.25,冀,斤,2021-11-27 00:00:00
小白菜,1.3,1.5,1.4,,斤,2021-11-27 00:00:00
圆白菜,2.2,2.5,2.35,冀,斤,2021-11-27 00:00:00
圆白菜,1.4,1.8,1.6,鄂,斤,2021-11-27 00:00:00
紫甘蓝,1.2,1.4,1.3,冀宁,斤,2021-11-27 00:00:00
芹菜,2.2,2.6,2.4,鲁,斤,2021-11-27 00:00:00
西芹,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
菠菜,2.5,3.5,3.0,蒙,斤,2021-11-27 00:00:00
莴笋,1.2,1.8,1.5,冀,斤,2021-11-27 00:00:00
团生菜,2.5,4.5,3.5,冀,斤,2021-11-27 00:00:00
散叶生菜,3.2,3.6,3.4,京辽,斤,2021-11-27 00:00:00
罗马生菜,3.0,3.4,3.2,冀,斤,2021-11-27 00:00:00
油菜,1.5,1.8,1.65,冀,斤,2021-11-27 00:00:00
香菜,2.4,4.5,3.45,冀,斤,2021-11-27 00:00:00
茴香,2.5,3.5,3.0,冀,斤,2021-11-27 00:00:00
韭菜,3.0,3.5,3.25,粤冀,斤,2021-11-27 00:00:00
苦菊,4.5,5.5,5.0,辽,斤,2021-11-27 00:00:00
油麦菜,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
黄心菜,1.0,1.3,1.15,皖,斤,2021-11-27 00:00:00
雪里蕻,1.3,1.5,1.4,冀,斤,2021-11-27 00:00:00
散菜花,3.5,5.0,4.25,冀甘陕,斤,2021-11-27 00:00:00
绿菜花,3.0,3.5,3.25,冀甘,斤,2021-11-27 00:00:00
绿豆芽,0.95,1.0,0.98,,斤,2021-11-27 00:00:00
黄豆芽,0.85,0.9,0.88,,斤,2021-11-27 00:00:00
番茄,1.3,2.7,2.0,蒙,斤,2021-11-27 00:00:00
番茄,3.0,3.5,3.25,鲁蒙冀,斤,2021-11-27 00:00:00
黄瓜,2.0,3.2,2.6,蒙辽,斤,2021-11-27 00:00:00
黄瓜,3.5,5.0,4.25,冀鲁,斤,2021-11-27 00:00:00
小黄瓜,5.0,5.4,5.2,辽,斤,2021-11-27 00:00:00
茄子,1.8,3.2,2.5,冀京,斤,2021-11-27 00:00:00
长茄,1.8,2.6,2.2,冀晋辽,斤,2021-11-27 00:00:00
广茄,2.0,3.0,2.5,冀京,斤,2021-11-27 00:00:00
线茄,3.5,4.3,3.9,冀鲁,斤,2021-11-27 00:00:00
冬瓜,1.4,1.6,1.5,辽桂,斤,2021-11-27 00:00:00
冬瓜,0.7,0.8,0.75,苏,斤,2021-11-27 00:00:00
毛冬瓜,1.4,1.8,1.6,冀豫,斤,2021-11-27 00:00:00
架豆,3.2,4.4,3.8,冀,斤,2021-11-27 00:00:00
豆王,3.2,4.4,3.8,云冀,斤,2021-11-27 00:00:00
扁豆,3.0,4.0,3.5,冀,斤,2021-11-27 00:00:00
大白菜,1.0,1.4,1.2,冀陕辽,斤,2021-11-27 00:00:00
娃娃菜,1.0,1.5,1.25,冀,斤,2021-11-27 00:00:00
小白菜,1.3,1.5,1.4,,斤,2021-11-27 00:00:00
圆白菜,2.2,2.5,2.35,冀,斤,2021-11-27 00:00:00
圆白菜,1.4,1.8,1.6,鄂,斤,2021-11-27 00:00:00
紫甘蓝,1.2,1.4,1.3,冀宁,斤,2021-11-27 00:00:00
芹菜,2.2,2.6,2.4,鲁,斤,2021-11-27 00:00:00
西芹,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
菠菜,2.5,3.5,3.0,蒙,斤,2021-11-27 00:00:00
莴笋,1.2,1.8,1.5,冀,斤,2021-11-27 00:00:00
团生菜,2.5,4.5,3.5,冀,斤,2021-11-27 00:00:00
散叶生菜,3.2,3.6,3.4,京辽,斤,2021-11-27 00:00:00
罗马生菜,3.0,3.4,3.2,冀,斤,2021-11-27 00:00:00
油菜,1.5,1.8,1.65,冀,斤,2021-11-27 00:00:00
香菜,2.4,4.5,3.45,冀,斤,2021-11-27 00:00:00
茴香,2.5,3.5,3.0,冀,斤,2021-11-27 00:00:00
韭菜,3.0,3.5,3.25,粤冀,斤,2021-11-27 00:00:00
苦菊,4.5,5.5,5.0,辽,斤,2021-11-27 00:00:00
油麦菜,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
黄心菜,1.0,1.3,1.15,皖,斤,2021-11-27 00:00:00
雪里蕻,1.3,1.5,1.4,冀,斤,2021-11-27 00:00:00
散菜花,3.5,5.0,4.25,冀甘陕,斤,2021-11-27 00:00:00
绿菜花,3.0,3.5,3.25,冀甘,斤,2021-11-27 00:00:00
绿豆芽,0.95,1.0,0.98,,斤,2021-11-27 00:00:00
黄豆芽,0.85,0.9,0.88,,斤,2021-11-27 00:00:00
番茄,1.3,2.7,2.0,蒙,斤,2021-11-27 00:00:00
番茄,3.0,3.5,3.25,鲁蒙冀,斤,2021-11-27 00:00:00
黄瓜,2.0,3.2,2.6,蒙辽,斤,2021-11-27 00:00:00
黄瓜,3.5,5.0,4.25,冀鲁,斤,2021-11-27 00:00:00
小黄瓜,5.0,5.4,5.2,辽,斤,2021-11-27 00:00:00
茄子,1.8,3.2,2.5,冀京,斤,2021-11-27 00:00:00
长茄,1.8,2.6,2.2,冀晋辽,斤,2021-11-27 00:00:00
广茄,2.0,3.0,2.5,冀京,斤,2021-11-27 00:00:00
线茄,3.5,4.3,3.9,冀鲁,斤,2021-11-27 00:00:00
冬瓜,1.4,1.6,1.5,辽桂,斤,2021-11-27 00:00:00
冬瓜,0.7,0.8,0.75,苏,斤,2021-11-27 00:00:00
毛冬瓜,1.4,1.8,1.6,冀豫,斤,2021-11-27 00:00:00
架豆,3.2,4.4,3.8,冀,斤,2021-11-27 00:00:00
豆王,3.2,4.4,3.8,云冀,斤,2021-11-27 00:00:00
扁豆,3.0,4.0,3.5,冀,斤,2021-11-27 00:00:00
大白菜,1.0,1.4,1.2,冀陕辽,斤,2021-11-27 00:00:00
娃娃菜,1.0,1.5,1.25,冀,斤,2021-11-27 00:00:00
小白菜,1.3,1.5,1.4,,斤,2021-11-27 00:00:00
圆白菜,2.2,2.5,2.35,冀,斤,2021-11-27 00:00:00
圆白菜,1.4,1.8,1.6,鄂,斤,2021-11-27 00:00:00
紫甘蓝,1.2,1.4,1.3,冀宁,斤,2021-11-27 00:00:00
芹菜,2.2,2.6,2.4,鲁,斤,2021-11-27 00:00:00
西芹,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
菠菜,2.5,3.5,3.0,蒙,斤,2021-11-27 00:00:00
莴笋,1.2,1.8,1.5,冀,斤,2021-11-27 00:00:00
团生菜,2.5,4.5,3.5,冀,斤,2021-11-27 00:00:00
散叶生菜,3.2,3.6,3.4,京辽,斤,2021-11-27 00:00:00
罗马生菜,3.0,3.4,3.2,冀,斤,2021-11-27 00:00:00
油菜,1.5,1.8,1.65,冀,斤,2021-11-27 00:00:00
香菜,2.4,4.5,3.45,冀,斤,2021-11-27 00:00:00
茴香,2.5,3.5,3.0,冀,斤,2021-11-27 00:00:00
韭菜,3.0,3.5,3.25,粤冀,斤,2021-11-27 00:00:00
苦菊,4.5,5.5,5.0,辽,斤,2021-11-27 00:00:00
油麦菜,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
黄心菜,1.0,1.3,1.15,皖,斤,2021-11-27 00:00:00
雪里蕻,1.3,1.5,1.4,冀,斤,2021-11-27 00:00:00
散菜花,3.5,5.0,4.25,冀甘陕,斤,2021-11-27 00:00:00
绿菜花,3.0,3.5,3.25,冀甘,斤,2021-11-27 00:00:00
绿豆芽,0.95,1.0,0.98,,斤,2021-11-27 00:00:00
黄豆芽,0.85,0.9,0.88,,斤,2021-11-27 00:00:00
番茄,1.3,2.7,2.0,蒙,斤,2021-11-27 00:00:00
番茄,3.0,3.5,3.25,鲁蒙冀,斤,2021-11-27 00:00:00
黄瓜,2.0,3.2,2.6,蒙辽,斤,2021-11-27 00:00:00
黄瓜,3.5,5.0,4.25,冀鲁,斤,2021-11-27 00:00:00
小黄瓜,5.0,5.4,5.2,辽,斤,2021-11-27 00:00:00
茄子,1.8,3.2,2.5,冀京,斤,2021-11-27 00:00:00
长茄,1.8,2.6,2.2,冀晋辽,斤,2021-11-27 00:00:00
广茄,2.0,3.0,2.5,冀京,斤,2021-11-27 00:00:00
线茄,3.5,4.3,3.9,冀鲁,斤,2021-11-27 00:00:00
冬瓜,1.4,1.6,1.5,辽桂,斤,2021-11-27 00:00:00
冬瓜,0.7,0.8,0.75,苏,斤,2021-11-27 00:00:00
毛冬瓜,1.4,1.8,1.6,冀豫,斤,2021-11-27 00:00:00
架豆,3.2,4.4,3.8,冀,斤,2021-11-27 00:00:00
豆王,3.2,4.4,3.8,云冀,斤,2021-11-27 00:00:00
扁豆,3.0,4.0,3.5,冀,斤,2021-11-27 00:00:00
大白菜,1.0,1.4,1.2,冀陕辽,斤,2021-11-27 00:00:00
娃娃菜,1.0,1.5,1.25,冀,斤,2021-11-27 00:00:00
小白菜,1.3,1.5,1.4,,斤,2021-11-27 00:00:00
圆白菜,2.2,2.5,2.35,冀,斤,2021-11-27 00:00:00
圆白菜,1.4,1.8,1.6,鄂,斤,2021-11-27 00:00:00
紫甘蓝,1.2,1.4,1.3,冀宁,斤,2021-11-27 00:00:00
芹菜,2.2,2.6,2.4,鲁,斤,2021-11-27 00:00:00
西芹,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
菠菜,2.5,3.5,3.0,蒙,斤,2021-11-27 00:00:00
莴笋,1.2,1.8,1.5,冀,斤,2021-11-27 00:00:00
团生菜,2.5,4.5,3.5,冀,斤,2021-11-27 00:00:00
散叶生菜,3.2,3.6,3.4,京辽,斤,2021-11-27 00:00:00
罗马生菜,3.0,3.4,3.2,冀,斤,2021-11-27 00:00:00
油菜,1.5,1.8,1.65,冀,斤,2021-11-27 00:00:00
香菜,2.4,4.5,3.45,冀,斤,2021-11-27 00:00:00
茴香,2.5,3.5,3.0,冀,斤,2021-11-27 00:00:00
韭菜,3.0,3.5,3.25,粤冀,斤,2021-11-27 00:00:00
苦菊,4.5,5.5,5.0,辽,斤,2021-11-27 00:00:00
油麦菜,4.0,4.5,4.25,辽,斤,2021-11-27 00:00:00
黄心菜,1.0,1.3,1.15,皖,斤,2021-11-27 00:00:00
雪里蕻,1.3,1.5,1.4,冀,斤,2021-11-27 00:00:00
散菜花,3.5,5.0,4.25,冀甘陕,斤,2021-11-27 00:00:00
绿菜花,3.0,3.5,3.25,冀甘,斤,2021-11-27 00:00:00
绿豆芽,0.95,1.0,0.98,,斤,2021-11-27 00:00:00
黄豆芽,0.85,0.9,0.88,,斤,2021-11-27 00:00:00
番茄,1.3,2.7,2.0,蒙,斤,2021-11-27 00:00:00
番茄,3.0,3.5,3.25,鲁蒙冀,斤,2021-11-27 00:00:00
黄瓜,2.0,3.2,2.6,蒙辽,斤,2021-11-27 00:00:00
黄瓜,3.5,5.0,4.25,冀鲁,斤,2021-11-27 00:00:00
小黄瓜,5.0,5.4,5.2,辽,斤,2021-11-27 00:00:00
茄子,1.8,3.2,2.5,冀京,斤,2021-11-27 00:00:00
长茄,1.8,2.6,2.2,冀晋辽,斤,2021-11-27 00:00:00
广茄,2.0,3.0,2.5,冀京,斤,2021-11-27 00:00:00
线茄,3.5,4.3,3.9,冀鲁,斤,2021-11-27 00:00:00
冬瓜,1.4,1.6,1.5,辽桂,斤,2021-11-27 00:00:00
冬瓜,0.7,0.8,0.75,苏,斤,2021-11-27 00:00:00
毛冬瓜,1.4,1.8,1.6,冀豫,斤,2021-11-27 00:00:00
架豆,3.2,4.4,3.8,冀,斤,2021-11-27 00:00:00
豆王,3.2,4.4,3.8,云冀,斤,2021-11-27 00:00:00
扁豆,3.0,4.0,3.5,冀,斤,2021-11-27 00:00:00
